104.59.68.198|September 21, 2019, 8:41 pm|Clicked vote button without choosing an item
104.59.68.198|September 21, 2019, 8:41 pm|Enters Poll
24.252.123.172|September 21, 2019, 10:38 pm|Enters Poll
108.218.213.41|September 21, 2019, 11:31 pm|Enters Poll
104.59.68.198|September 22, 2019, 1:07 am|Clicked vote button without choosing an item
104.59.68.198|September 22, 2019, 1:07 am|Enters Poll
107.135.23.9|September 22, 2019, 3:02 am|Views results
174.240.128.159|September 22, 2019, 5:48 am|Enters Poll
98.164.64.100|September 22, 2019, 11:59 am|Enters Poll
174.240.137.178|September 22, 2019, 1:18 pm|Enters Poll
47.38.18.179|September 22, 2019, 1:35 pm|Enters Poll
174.64.14.101|September 22, 2019, 1:38 pm|Enters Poll
66.30.236.2|September 22, 2019, 3:34 pm|Enters Poll
174.193.35.216|September 22, 2019, 4:11 pm|Enters Poll
68.11.223.92|September 22, 2019, 5:16 pm|Enters Poll
68.11.223.92|September 22, 2019, 5:16 pm|Clicked vote button without choosing an item
68.11.223.92|September 22, 2019, 5:16 pm|Enters Poll
68.11.223.92|September 22, 2019, 5:17 pm|Vote received on All games that have published spreads
162.192.89.245|September 22, 2019, 7:03 pm|Enters Poll
107.77.200.132|September 22, 2019, 7:52 pm|Enters Poll
108.218.213.41|September 23, 2019, 1:07 am|Enters Poll
99.137.213.2|September 23, 2019, 1:33 am|Enters Poll
47.38.18.179|September 23, 2019, 1:05 pm|Enters Poll
47.38.18.179|September 23, 2019, 1:05 pm|Vote received on Games where at least one team is FBS
184.176.199.154|September 23, 2019, 2:53 pm|Enters Poll
184.176.199.154|September 23, 2019, 2:54 pm|Vote received on Games where at least one team is FBS
74.114.105.214|September 23, 2019, 4:05 pm|Enters Poll
74.114.105.214|September 23, 2019, 4:06 pm|Vote received on All games that have published spreads
69.2.43.228|September 23, 2019, 7:13 pm|Enters Poll
184.176.199.154|September 23, 2019, 8:09 pm|Views results
162.192.89.245|September 23, 2019, 8:22 pm|Enters Poll
24.252.123.172|September 23, 2019, 10:11 pm|Enters Poll
24.252.123.172|September 23, 2019, 10:12 pm|Clicked vote button without choosing an item
24.252.123.172|September 23, 2019, 10:12 pm|Enters Poll
162.192.89.245|September 24, 2019, 1:37 am|Clicked vote button without choosing an item
162.192.89.245|September 24, 2019, 1:37 am|Enters Poll
174.64.14.101|September 24, 2019, 10:39 am|Enters Poll
47.38.18.179|September 24, 2019, 1:29 pm|Enters Poll
47.38.18.179|September 24, 2019, 1:38 pm|Vote received on Games where at least one team is FBS
184.176.199.154|September 24, 2019, 2:06 pm|Enters Poll
74.114.105.214|September 24, 2019, 3:34 pm|Enters Poll
104.176.82.153|September 24, 2019, 6:40 pm|Enters Poll
104.176.82.153|September 24, 2019, 6:40 pm|Vote received on No preference
70.125.224.114|September 24, 2019, 8:15 pm|Enters Poll
74.114.105.214|September 24, 2019, 8:54 pm|Enters Poll
162.192.89.245|September 24, 2019, 9:13 pm|Enters Poll
162.192.89.245|September 24, 2019, 9:15 pm|Vote received on Games where at least one team is FBS
74.114.105.214|September 24, 2019, 10:05 pm|Clicked vote button without choosing an item
74.114.105.214|September 24, 2019, 10:05 pm|Enters Poll
172.58.172.107|September 24, 2019, 10:05 pm|Views results
74.114.105.214|September 24, 2019, 10:05 pm|Enters Poll
74.114.105.214|September 24, 2019, 10:06 pm|Enters Poll
74.114.105.214|September 24, 2019, 10:07 pm|Clicked vote button without choosing an item
74.114.105.214|September 24, 2019, 10:07 pm|Enters Poll
74.114.105.214|September 24, 2019, 10:14 pm|Clicked vote button without choosing an item
74.114.105.214|September 24, 2019, 10:14 pm|Enters Poll
66.171.38.135|September 25, 2019, 11:31 am|Enters Poll
47.38.18.179|September 25, 2019, 12:24 pm|Enters Poll
74.114.105.214|September 25, 2019, 1:01 pm|Enters Poll
70.125.224.114|September 25, 2019, 1:14 pm|Enters Poll
162.192.89.245|September 25, 2019, 2:58 pm|Enters Poll
162.192.89.245|September 25, 2019, 3:32 pm|Clicked vote button without choosing an item
162.192.89.245|September 25, 2019, 3:32 pm|Enters Poll
99.203.91.214|September 25, 2019, 8:35 pm|Enters Poll
99.203.91.214|September 25, 2019, 8:40 pm|Clicked vote button without choosing an item
99.203.91.214|September 25, 2019, 8:40 pm|Enters Poll
107.77.196.20|September 25, 2019, 11:20 pm|Enters Poll
107.77.196.20|September 25, 2019, 11:24 pm|Clicked vote button without choosing an item
107.77.196.20|September 25, 2019, 11:24 pm|Enters Poll
174.64.14.101|September 26, 2019, 12:51 am|Enters Poll
72.219.40.145|September 26, 2019, 4:26 am|Enters Poll
72.219.40.145|September 26, 2019, 4:31 am|Clicked vote button without choosing an item
72.219.40.145|September 26, 2019, 4:31 am|Enters Poll
174.64.14.101|September 26, 2019, 11:02 am|Enters Poll
174.64.14.101|September 26, 2019, 11:03 am|Clicked vote button without choosing an item
174.64.14.101|September 26, 2019, 11:03 am|Enters Poll
70.125.224.114|September 26, 2019, 1:55 pm|Enters Poll
71.129.181.88|September 26, 2019, 2:14 pm|Enters Poll
71.129.181.88|September 26, 2019, 2:43 pm|Clicked vote button without choosing an item
71.129.181.88|September 26, 2019, 2:43 pm|Enters Poll
71.129.181.88|September 26, 2019, 2:43 pm|Clicked vote button without choosing an item
71.129.181.88|September 26, 2019, 2:43 pm|Enters Poll
70.125.224.114|September 26, 2019, 3:38 pm|Clicked vote button without choosing an item
70.125.224.114|September 26, 2019, 3:38 pm|Enters Poll
74.114.105.214|September 26, 2019, 4:09 pm|Enters Poll
184.176.199.154|September 26, 2019, 4:17 pm|Enters Poll
74.114.105.214|September 26, 2019, 4:31 pm|Clicked vote button without choosing an item
74.114.105.214|September 26, 2019, 4:31 pm|Enters Poll
184.176.199.154|September 26, 2019, 4:34 pm|Clicked vote button without choosing an item
184.176.199.154|September 26, 2019, 4:34 pm|Enters Poll
70.125.224.114|September 26, 2019, 8:00 pm|Clicked vote button without choosing an item
70.125.224.114|September 26, 2019, 8:00 pm|Enters Poll
8.37.179.150|September 26, 2019, 11:28 pm|Enters Poll
8.37.179.150|September 26, 2019, 11:34 pm|Clicked vote button without choosing an item
8.37.179.150|September 26, 2019, 11:34 pm|Enters Poll
8.37.179.150|September 26, 2019, 11:36 pm|Clicked vote button without choosing an item
8.37.179.150|September 26, 2019, 11:36 pm|Enters Poll
75.45.208.86|September 27, 2019, 12:07 am|Enters Poll
75.45.208.86|September 27, 2019, 12:15 am|Clicked vote button without choosing an item
75.45.208.86|September 27, 2019, 12:15 am|Enters Poll
72.219.40.145|September 27, 2019, 1:12 am|Enters Poll
107.77.201.220|September 27, 2019, 4:35 am|Enters Poll
68.11.223.92|September 27, 2019, 10:24 am|Enters Poll
68.11.223.92|September 27, 2019, 10:25 am|Clicked vote button without choosing an item
68.11.223.92|September 27, 2019, 10:25 am|Enters Poll
70.125.224.114|September 27, 2019, 1:31 pm|Enters Poll
70.125.224.114|September 27, 2019, 1:35 pm|Clicked vote button without choosing an item
70.125.224.114|September 27, 2019, 1:35 pm|Enters Poll
47.38.18.179|September 27, 2019, 2:09 pm|Enters Poll
70.180.72.175|September 27, 2019, 2:10 pm|Enters Poll
70.180.72.175|September 27, 2019, 2:11 pm|Clicked vote button without choosing an item
70.180.72.175|September 27, 2019, 2:11 pm|Enters Poll
69.2.43.228|September 27, 2019, 2:34 pm|Enters Poll
69.2.43.228|September 27, 2019, 2:37 pm|Clicked vote button without choosing an item
69.2.43.228|September 27, 2019, 2:37 pm|Enters Poll
104.176.82.153|September 27, 2019, 4:09 pm|Enters Poll
104.176.82.153|September 27, 2019, 4:09 pm|Vote received on No preference
104.176.82.153|September 27, 2019, 4:18 pm|Views results
104.176.82.153|September 27, 2019, 4:18 pm|Views results
104.176.82.153|September 27, 2019, 4:19 pm|Views results
104.176.82.153|September 27, 2019, 4:20 pm|Views results
104.176.82.153|September 27, 2019, 4:41 pm|Views results
104.176.82.153|September 27, 2019, 4:44 pm|Views results
104.176.82.153|September 27, 2019, 4:44 pm|Views results
104.176.82.153|September 27, 2019, 4:44 pm|Views results
104.176.82.153|September 27, 2019, 4:46 pm|Views results
104.176.82.153|September 27, 2019, 4:49 pm|Views results
104.176.82.153|September 27, 2019, 4:49 pm|Views results
104.176.82.153|September 27, 2019, 4:51 pm|Views results
66.210.125.251|September 27, 2019, 4:54 pm|Enters Poll
66.210.125.251|September 27, 2019, 4:56 pm|Clicked vote button without choosing an item
66.210.125.251|September 27, 2019, 4:56 pm|Enters Poll
47.38.18.179|September 27, 2019, 9:47 pm|Clicked vote button without choosing an item
47.38.18.179|September 27, 2019, 9:47 pm|Enters Poll
47.38.18.179|September 27, 2019, 9:53 pm|Clicked vote button without choosing an item
47.38.18.179|September 27, 2019, 9:53 pm|Enters Poll
